,file_name,Bald,Male
3782,3782.jpg,1,1
25845,25845.jpg,1,1
14800,14800.jpg,1,1
15505,15505.jpg,1,1
28416,28416.jpg,1,1
21498,21498.jpg,1,1
18335,18335.jpg,1,1
14371,14371.jpg,1,1
18539,18539.jpg,1,1
3389,3389.jpg,1,1
13194,13194.jpg,1,1
22770,22770.jpg,1,1
25631,25631.jpg,1,1
8682,8682.jpg,1,1
25343,25343.jpg,1,1
22098,22098.jpg,1,1
20492,20492.jpg,1,1
12522,12522.jpg,1,1
17189,17189.jpg,1,1
26374,26374.jpg,1,1
24940,24940.jpg,1,1
21021,21021.jpg,1,1
9314,9314.jpg,1,1
24636,24636.jpg,1,1
13093,13093.jpg,1,1
6563,6563.jpg,1,1
29763,29763.jpg,1,1
13394,13394.jpg,1,1
14809,14809.jpg,1,1
22673,22673.jpg,1,1
12750,12750.jpg,1,1
19702,19702.jpg,1,1
17090,17090.jpg,1,1
3982,3982.jpg,1,1
9676,9676.jpg,1,1
11870,11870.jpg,1,1
22149,22149.jpg,1,1
23037,23037.jpg,1,1
23275,23275.jpg,1,1
24601,24601.jpg,1,1
24014,24014.jpg,1,1
20446,20446.jpg,1,1
16246,16246.jpg,1,1
25493,25493.jpg,1,1
21398,21398.jpg,1,1
13482,13482.jpg,1,1
12077,12077.jpg,1,1
15764,15764.jpg,1,1
24212,24212.jpg,1,1
14807,14807.jpg,1,1
4141,4141.jpg,1,1
16421,16421.jpg,1,1
26388,26388.jpg,1,1
5527,5527.jpg,1,1
28615,28615.jpg,1,1
22679,22679.jpg,1,1
14094,14094.jpg,1,1
19751,19751.jpg,1,1
13689,13689.jpg,1,1
7752,7752.jpg,1,1
22514,22514.jpg,1,1
28714,28714.jpg,1,1
8711,8711.jpg,1,1
13238,13238.jpg,1,1
21617,21617.jpg,1,1
23607,23607.jpg,1,1
1558,1558.jpg,1,1
15904,15904.jpg,1,1
15370,15370.jpg,1,1
23151,23151.jpg,1,1
29283,29283.jpg,1,1
18373,18373.jpg,1,1
23003,23003.jpg,1,1
12887,12887.jpg,1,1
12798,12798.jpg,1,1
17738,17738.jpg,1,1
20283,20283.jpg,1,1
10237,10237.jpg,1,1
13646,13646.jpg,1,1
19776,19776.jpg,1,1
20925,20925.jpg,1,1
7163,7163.jpg,1,1
23737,23737.jpg,1,1
14453,14453.jpg,1,1
24722,24722.jpg,1,1
18803,18803.jpg,1,1
15281,15281.jpg,1,1
15837,15837.jpg,1,1
26925,26925.jpg,1,1
22526,22526.jpg,1,1
6307,6307.jpg,1,1
6668,6668.jpg,1,1
7292,7292.jpg,1,1
22371,22371.jpg,1,1
17489,17489.jpg,1,1
18561,18561.jpg,1,1
6571,6571.jpg,1,1
64,64.jpg,1,1
13834,13834.jpg,1,1
2476,2476.jpg,1,1
