,file_name,Gray_Hair,Male
14378,14378.jpg,-1,-1
26378,26378.jpg,-1,-1
29220,29220.jpg,-1,-1
29837,29837.jpg,-1,-1
2993,2993.jpg,-1,1
16304,16304.jpg,-1,-1
27025,27025.jpg,-1,1
12625,12625.jpg,-1,-1
12330,12330.jpg,-1,-1
15863,15863.jpg,-1,1
20101,20101.jpg,-1,-1
3500,3500.jpg,-1,-1
19112,19112.jpg,-1,-1
12407,12407.jpg,-1,-1
12692,12692.jpg,-1,1
12533,12533.jpg,-1,1
15804,15804.jpg,-1,-1
14493,14493.jpg,-1,1
16070,16070.jpg,-1,1
18628,18628.jpg,-1,-1
14736,14736.jpg,-1,-1
10580,10580.jpg,-1,1
6003,6003.jpg,-1,-1
3639,3639.jpg,-1,-1
23897,23897.jpg,-1,1
20629,20629.jpg,-1,-1
11651,11651.jpg,-1,1
17446,17446.jpg,-1,1
4279,4279.jpg,-1,1
8982,8982.jpg,-1,1
28947,28947.jpg,-1,1
25947,25947.jpg,-1,-1
21756,21756.jpg,-1,-1
25594,25594.jpg,-1,1
2687,2687.jpg,-1,-1
22463,22463.jpg,-1,-1
13417,13417.jpg,-1,1
264,264.jpg,-1,1
21394,21394.jpg,-1,-1
6538,6538.jpg,-1,-1
2280,2280.jpg,-1,-1
25868,25868.jpg,-1,-1
6013,6013.jpg,-1,1
28389,28389.jpg,-1,-1
12874,12874.jpg,-1,-1
13903,13903.jpg,-1,1
28945,28945.jpg,-1,1
5995,5995.jpg,-1,-1
5214,5214.jpg,-1,1
15451,15451.jpg,-1,1
5108,5108.jpg,-1,-1
24230,24230.jpg,-1,-1
18370,18370.jpg,-1,1
9876,9876.jpg,-1,-1
13140,13140.jpg,-1,1
29419,29419.jpg,-1,1
26807,26807.jpg,-1,1
23078,23078.jpg,-1,-1
10321,10321.jpg,-1,-1
19949,19949.jpg,-1,1
26948,26948.jpg,-1,-1
6897,6897.jpg,-1,-1
4412,4412.jpg,-1,-1
22935,22935.jpg,-1,1
27487,27487.jpg,-1,1
2743,2743.jpg,-1,-1
26815,26815.jpg,-1,-1
27855,27855.jpg,-1,-1
7177,7177.jpg,-1,-1
18361,18361.jpg,-1,1
29452,29452.jpg,-1,-1
13891,13891.jpg,-1,-1
28694,28694.jpg,-1,-1
11568,11568.jpg,-1,-1
29148,29148.jpg,-1,-1
25616,25616.jpg,-1,-1
19875,19875.jpg,-1,-1
12282,12282.jpg,-1,-1
5939,5939.jpg,-1,-1
2507,2507.jpg,-1,-1
22134,22134.jpg,-1,1
24174,24174.jpg,-1,1
5003,5003.jpg,-1,-1
15667,15667.jpg,-1,-1
14172,14172.jpg,-1,1
28896,28896.jpg,-1,1
307,307.jpg,-1,-1
5975,5975.jpg,-1,-1
17155,17155.jpg,-1,-1
2782,2782.jpg,-1,-1
7969,7969.jpg,-1,1
2288,2288.jpg,-1,-1
23499,23499.jpg,-1,1
439,439.jpg,-1,-1
3821,3821.jpg,-1,-1
19121,19121.jpg,-1,1
20886,20886.jpg,-1,-1
12104,12104.jpg,-1,-1
19546,19546.jpg,-1,1
12095,12095.jpg,-1,-1
