,file_name,Narrow_Eyes,Male
23772,23772.jpg,-1,1
1353,1353.jpg,-1,-1
10362,10362.jpg,-1,-1
8876,8876.jpg,-1,-1
28460,28460.jpg,-1,-1
9952,9952.jpg,-1,-1
29720,29720.jpg,-1,-1
13891,13891.jpg,-1,-1
4919,4919.jpg,-1,-1
6892,6892.jpg,-1,-1
14885,14885.jpg,-1,-1
8724,8724.jpg,-1,-1
17979,17979.jpg,-1,-1
3924,3924.jpg,-1,1
25561,25561.jpg,-1,-1
1383,1383.jpg,-1,-1
8282,8282.jpg,-1,1
21350,21350.jpg,-1,1
1610,1610.jpg,-1,1
18980,18980.jpg,-1,1
27330,27330.jpg,-1,-1
19637,19637.jpg,-1,-1
24249,24249.jpg,-1,-1
3667,3667.jpg,-1,-1
7684,7684.jpg,-1,-1
26765,26765.jpg,-1,-1
23771,23771.jpg,-1,-1
16891,16891.jpg,-1,-1
1779,1779.jpg,-1,-1
3335,3335.jpg,-1,-1
13260,13260.jpg,-1,1
21354,21354.jpg,-1,-1
21899,21899.jpg,-1,-1
11457,11457.jpg,-1,-1
7202,7202.jpg,-1,1
915,915.jpg,-1,-1
27643,27643.jpg,-1,1
16759,16759.jpg,-1,1
12965,12965.jpg,-1,1
4604,4604.jpg,-1,-1
2460,2460.jpg,-1,1
20885,20885.jpg,-1,-1
2092,2092.jpg,-1,-1
18834,18834.jpg,-1,-1
1768,1768.jpg,-1,-1
23453,23453.jpg,-1,-1
7423,7423.jpg,-1,-1
20296,20296.jpg,-1,-1
6837,6837.jpg,-1,1
8554,8554.jpg,-1,1
13453,13453.jpg,-1,1
4572,4572.jpg,-1,-1
4895,4895.jpg,-1,1
22990,22990.jpg,-1,1
20104,20104.jpg,-1,1
28375,28375.jpg,-1,1
7382,7382.jpg,-1,1
10071,10071.jpg,-1,-1
12730,12730.jpg,-1,-1
22971,22971.jpg,-1,-1
23185,23185.jpg,-1,-1
17106,17106.jpg,-1,-1
4579,4579.jpg,-1,-1
4010,4010.jpg,-1,-1
20675,20675.jpg,-1,1
5560,5560.jpg,-1,-1
6008,6008.jpg,-1,-1
10336,10336.jpg,-1,-1
21426,21426.jpg,-1,-1
21181,21181.jpg,-1,1
21246,21246.jpg,-1,-1
5725,5725.jpg,-1,-1
14342,14342.jpg,-1,-1
17611,17611.jpg,-1,-1
18290,18290.jpg,-1,-1
2648,2648.jpg,-1,-1
17380,17380.jpg,-1,-1
28571,28571.jpg,-1,-1
7866,7866.jpg,-1,1
21855,21855.jpg,-1,-1
20035,20035.jpg,-1,-1
13549,13549.jpg,-1,-1
4400,4400.jpg,-1,-1
7522,7522.jpg,-1,-1
27892,27892.jpg,-1,-1
27600,27600.jpg,-1,1
14166,14166.jpg,-1,-1
17895,17895.jpg,-1,1
29512,29512.jpg,-1,1
822,822.jpg,-1,-1
21927,21927.jpg,-1,-1
15761,15761.jpg,-1,1
18683,18683.jpg,-1,1
21684,21684.jpg,-1,-1
22703,22703.jpg,-1,1
3289,3289.jpg,-1,-1
16157,16157.jpg,-1,1
10093,10093.jpg,-1,1
18371,18371.jpg,-1,-1
23544,23544.jpg,-1,-1
