,file_name,No_Beard,Male
9653,9653.jpg,-1,1
11935,11935.jpg,-1,1
18302,18302.jpg,-1,1
26715,26715.jpg,-1,1
15036,15036.jpg,-1,1
18555,18555.jpg,-1,1
13591,13591.jpg,-1,1
19194,19194.jpg,-1,1
2290,2290.jpg,-1,1
18640,18640.jpg,-1,1
11194,11194.jpg,-1,1
14632,14632.jpg,-1,1
11269,11269.jpg,-1,1
22680,22680.jpg,-1,1
11723,11723.jpg,-1,1
8307,8307.jpg,-1,1
29996,29996.jpg,-1,1
12325,12325.jpg,-1,1
11144,11144.jpg,-1,1
20505,20505.jpg,-1,1
19320,19320.jpg,-1,1
12389,12389.jpg,-1,1
10239,10239.jpg,-1,1
26141,26141.jpg,-1,1
23786,23786.jpg,-1,1
13779,13779.jpg,-1,1
5118,5118.jpg,-1,1
11943,11943.jpg,-1,1
28290,28290.jpg,-1,1
22552,22552.jpg,-1,1
19051,19051.jpg,-1,1
13572,13572.jpg,-1,1
18531,18531.jpg,-1,1
29389,29389.jpg,-1,1
6178,6178.jpg,-1,1
23071,23071.jpg,-1,1
27753,27753.jpg,-1,1
8492,8492.jpg,-1,1
26374,26374.jpg,-1,1
15820,15820.jpg,-1,1
11437,11437.jpg,-1,1
23460,23460.jpg,-1,1
9293,9293.jpg,-1,1
6757,6757.jpg,-1,1
5839,5839.jpg,-1,1
13793,13793.jpg,-1,1
1698,1698.jpg,-1,1
9179,9179.jpg,-1,1
6735,6735.jpg,-1,1
28147,28147.jpg,-1,1
17870,17870.jpg,-1,1
11381,11381.jpg,-1,1
1348,1348.jpg,-1,1
12227,12227.jpg,-1,1
20828,20828.jpg,-1,1
7774,7774.jpg,-1,1
28714,28714.jpg,-1,1
16476,16476.jpg,-1,1
10457,10457.jpg,-1,1
16955,16955.jpg,-1,1
21250,21250.jpg,-1,1
17706,17706.jpg,-1,1
25910,25910.jpg,-1,1
27770,27770.jpg,-1,1
6462,6462.jpg,-1,1
21544,21544.jpg,-1,1
27848,27848.jpg,-1,1
22555,22555.jpg,-1,1
12056,12056.jpg,-1,1
19620,19620.jpg,-1,1
14504,14504.jpg,-1,1
2452,2452.jpg,-1,1
16079,16079.jpg,-1,1
28673,28673.jpg,-1,1
17941,17941.jpg,-1,1
17265,17265.jpg,-1,1
9985,9985.jpg,-1,1
22781,22781.jpg,-1,1
21795,21795.jpg,-1,1
16681,16681.jpg,-1,1
18412,18412.jpg,-1,1
28957,28957.jpg,-1,1
6248,6248.jpg,-1,1
12895,12895.jpg,-1,1
9066,9066.jpg,-1,1
19576,19576.jpg,-1,1
2416,2416.jpg,-1,1
27510,27510.jpg,-1,1
27294,27294.jpg,-1,1
19739,19739.jpg,-1,1
23577,23577.jpg,-1,1
29969,29969.jpg,-1,1
27961,27961.jpg,-1,1
19085,19085.jpg,-1,1
26173,26173.jpg,-1,1
20508,20508.jpg,-1,1
13902,13902.jpg,-1,1
11782,11782.jpg,-1,1
23027,23027.jpg,-1,1
23220,23220.jpg,-1,1
