,file_name,Receding_Hairline,Male
17557,17557.jpg,-1,1
5717,5717.jpg,-1,-1
25996,25996.jpg,-1,1
3638,3638.jpg,-1,-1
27280,27280.jpg,-1,1
26172,26172.jpg,-1,1
4554,4554.jpg,-1,-1
22951,22951.jpg,-1,-1
7592,7592.jpg,-1,1
25658,25658.jpg,-1,-1
27853,27853.jpg,-1,1
9683,9683.jpg,-1,-1
787,787.jpg,-1,-1
726,726.jpg,-1,-1
12797,12797.jpg,-1,1
14272,14272.jpg,-1,-1
29385,29385.jpg,-1,1
12065,12065.jpg,-1,-1
23092,23092.jpg,-1,-1
6699,6699.jpg,-1,-1
22449,22449.jpg,-1,-1
27996,27996.jpg,-1,-1
28474,28474.jpg,-1,1
17781,17781.jpg,-1,-1
7763,7763.jpg,-1,-1
27685,27685.jpg,-1,-1
13588,13588.jpg,-1,1
9198,9198.jpg,-1,1
3197,3197.jpg,-1,1
2736,2736.jpg,-1,1
5487,5487.jpg,-1,-1
24274,24274.jpg,-1,-1
29407,29407.jpg,-1,1
14584,14584.jpg,-1,-1
4312,4312.jpg,-1,1
26518,26518.jpg,-1,-1
11333,11333.jpg,-1,-1
13682,13682.jpg,-1,-1
2643,2643.jpg,-1,-1
3022,3022.jpg,-1,1
11761,11761.jpg,-1,-1
14970,14970.jpg,-1,-1
8898,8898.jpg,-1,1
28132,28132.jpg,-1,-1
8838,8838.jpg,-1,-1
15031,15031.jpg,-1,-1
29562,29562.jpg,-1,-1
24527,24527.jpg,-1,-1
12774,12774.jpg,-1,-1
618,618.jpg,-1,-1
7945,7945.jpg,-1,1
9070,9070.jpg,-1,1
25252,25252.jpg,-1,-1
1295,1295.jpg,-1,-1
28234,28234.jpg,-1,-1
21530,21530.jpg,-1,-1
2723,2723.jpg,-1,-1
5156,5156.jpg,-1,1
3444,3444.jpg,-1,-1
13289,13289.jpg,-1,-1
7834,7834.jpg,-1,-1
24032,24032.jpg,-1,-1
2283,2283.jpg,-1,-1
13454,13454.jpg,-1,-1
8716,8716.jpg,-1,-1
14772,14772.jpg,-1,-1
16579,16579.jpg,-1,-1
13943,13943.jpg,-1,-1
3777,3777.jpg,-1,-1
22181,22181.jpg,-1,1
9973,9973.jpg,-1,-1
29833,29833.jpg,-1,1
16219,16219.jpg,-1,1
2671,2671.jpg,-1,-1
6401,6401.jpg,-1,-1
28311,28311.jpg,-1,-1
24750,24750.jpg,-1,-1
349,349.jpg,-1,-1
17551,17551.jpg,-1,1
13555,13555.jpg,-1,-1
27382,27382.jpg,-1,1
27169,27169.jpg,-1,1
7887,7887.jpg,-1,1
6239,6239.jpg,-1,-1
23175,23175.jpg,-1,-1
9758,9758.jpg,-1,-1
2334,2334.jpg,-1,-1
29152,29152.jpg,-1,-1
27510,27510.jpg,-1,1
29776,29776.jpg,-1,-1
1515,1515.jpg,-1,-1
24547,24547.jpg,-1,1
1564,1564.jpg,-1,-1
9783,9783.jpg,-1,-1
18760,18760.jpg,-1,-1
9691,9691.jpg,-1,1
23862,23862.jpg,-1,1
10152,10152.jpg,-1,1
17016,17016.jpg,-1,-1
1818,1818.jpg,-1,-1
