,file_name,Straight_Hair,Male
1767,1767.jpg,-1,-1
20824,20824.jpg,-1,1
5835,5835.jpg,-1,-1
7981,7981.jpg,-1,-1
29125,29125.jpg,-1,1
10577,10577.jpg,-1,-1
17493,17493.jpg,-1,1
15698,15698.jpg,-1,1
1636,1636.jpg,-1,-1
9565,9565.jpg,-1,1
27149,27149.jpg,-1,1
6839,6839.jpg,-1,-1
718,718.jpg,-1,1
1041,1041.jpg,-1,-1
17484,17484.jpg,-1,1
19319,19319.jpg,-1,1
1676,1676.jpg,-1,-1
27300,27300.jpg,-1,-1
22715,22715.jpg,-1,-1
12950,12950.jpg,-1,-1
10614,10614.jpg,-1,1
24125,24125.jpg,-1,-1
11483,11483.jpg,-1,1
26063,26063.jpg,-1,-1
4673,4673.jpg,-1,1
9025,9025.jpg,-1,1
2568,2568.jpg,-1,-1
27248,27248.jpg,-1,1
29224,29224.jpg,-1,-1
27346,27346.jpg,-1,-1
28731,28731.jpg,-1,1
16470,16470.jpg,-1,-1
134,134.jpg,-1,1
13841,13841.jpg,-1,-1
25038,25038.jpg,-1,1
24910,24910.jpg,-1,1
14199,14199.jpg,-1,1
28896,28896.jpg,-1,1
11401,11401.jpg,-1,1
16911,16911.jpg,-1,1
18179,18179.jpg,-1,-1
29415,29415.jpg,-1,-1
24029,24029.jpg,-1,-1
7428,7428.jpg,-1,-1
14686,14686.jpg,-1,-1
4709,4709.jpg,-1,-1
4647,4647.jpg,-1,-1
11693,11693.jpg,-1,1
11531,11531.jpg,-1,1
22765,22765.jpg,-1,-1
11954,11954.jpg,-1,-1
19216,19216.jpg,-1,-1
7564,7564.jpg,-1,1
26235,26235.jpg,-1,-1
26195,26195.jpg,-1,1
6724,6724.jpg,-1,1
28059,28059.jpg,-1,-1
18521,18521.jpg,-1,-1
18404,18404.jpg,-1,-1
18212,18212.jpg,-1,1
26551,26551.jpg,-1,1
23703,23703.jpg,-1,1
6975,6975.jpg,-1,-1
5035,5035.jpg,-1,-1
27697,27697.jpg,-1,-1
1224,1224.jpg,-1,-1
24908,24908.jpg,-1,1
18893,18893.jpg,-1,-1
3628,3628.jpg,-1,-1
5854,5854.jpg,-1,-1
18968,18968.jpg,-1,-1
21265,21265.jpg,-1,1
15892,15892.jpg,-1,-1
24672,24672.jpg,-1,-1
13903,13903.jpg,-1,1
26178,26178.jpg,-1,-1
4223,4223.jpg,-1,-1
5281,5281.jpg,-1,-1
15161,15161.jpg,-1,-1
22175,22175.jpg,-1,-1
4582,4582.jpg,-1,-1
1259,1259.jpg,-1,-1
24634,24634.jpg,-1,-1
11869,11869.jpg,-1,1
21033,21033.jpg,-1,1
16685,16685.jpg,-1,-1
4177,4177.jpg,-1,-1
5667,5667.jpg,-1,-1
18994,18994.jpg,-1,-1
26259,26259.jpg,-1,-1
22568,22568.jpg,-1,1
1571,1571.jpg,-1,-1
4421,4421.jpg,-1,-1
4819,4819.jpg,-1,-1
9619,9619.jpg,-1,-1
754,754.jpg,-1,-1
27880,27880.jpg,-1,1
10985,10985.jpg,-1,-1
19069,19069.jpg,-1,-1
9128,9128.jpg,-1,-1
