,file_name,Wearing_Hat,Male
22467,22467.jpg,1,1
10002,10002.jpg,1,-1
22671,22671.jpg,1,1
21665,21665.jpg,1,1
9927,9927.jpg,1,1
6289,6289.jpg,1,-1
22416,22416.jpg,1,-1
27356,27356.jpg,1,1
21971,21971.jpg,1,1
16774,16774.jpg,1,1
25309,25309.jpg,1,-1
1827,1827.jpg,1,1
4822,4822.jpg,1,-1
13958,13958.jpg,1,-1
17496,17496.jpg,1,-1
12631,12631.jpg,1,1
27176,27176.jpg,1,1
29887,29887.jpg,1,1
13168,13168.jpg,1,1
3099,3099.jpg,1,1
11423,11423.jpg,1,-1
18855,18855.jpg,1,1
27734,27734.jpg,1,-1
18623,18623.jpg,1,-1
13762,13762.jpg,1,1
5425,5425.jpg,1,-1
13002,13002.jpg,1,1
29096,29096.jpg,1,1
14441,14441.jpg,1,1
27914,27914.jpg,1,1
26524,26524.jpg,1,-1
25578,25578.jpg,1,1
17099,17099.jpg,1,1
19159,19159.jpg,1,1
13199,13199.jpg,1,1
18795,18795.jpg,1,-1
16962,16962.jpg,1,1
23231,23231.jpg,1,-1
20114,20114.jpg,1,1
6655,6655.jpg,1,1
15249,15249.jpg,1,1
13277,13277.jpg,1,1
7479,7479.jpg,1,-1
12253,12253.jpg,1,1
28847,28847.jpg,1,1
29429,29429.jpg,1,1
5381,5381.jpg,1,1
222,222.jpg,1,-1
17287,17287.jpg,1,1
21350,21350.jpg,1,1
24482,24482.jpg,1,1
20132,20132.jpg,1,1
24507,24507.jpg,1,-1
17164,17164.jpg,1,1
14512,14512.jpg,1,-1
29787,29787.jpg,1,1
23131,23131.jpg,1,1
12586,12586.jpg,1,-1
21322,21322.jpg,1,-1
6437,6437.jpg,1,1
2237,2237.jpg,1,1
28629,28629.jpg,1,1
15194,15194.jpg,1,1
10750,10750.jpg,1,-1
23233,23233.jpg,1,1
6020,6020.jpg,1,1
16777,16777.jpg,1,1
9996,9996.jpg,1,1
14857,14857.jpg,1,1
16780,16780.jpg,1,1
822,822.jpg,1,-1
27699,27699.jpg,1,1
8089,8089.jpg,1,-1
25828,25828.jpg,1,-1
4961,4961.jpg,1,1
20545,20545.jpg,1,1
29166,29166.jpg,1,1
9283,9283.jpg,1,1
5912,5912.jpg,1,-1
10135,10135.jpg,1,-1
24259,24259.jpg,1,1
27170,27170.jpg,1,1
21629,21629.jpg,1,-1
28327,28327.jpg,1,1
10844,10844.jpg,1,-1
19022,19022.jpg,1,1
13700,13700.jpg,1,1
19972,19972.jpg,1,-1
19643,19643.jpg,1,1
25951,25951.jpg,1,-1
14349,14349.jpg,1,1
16121,16121.jpg,1,1
29849,29849.jpg,1,-1
22781,22781.jpg,1,1
6847,6847.jpg,1,-1
17359,17359.jpg,1,1
19523,19523.jpg,1,1
18260,18260.jpg,1,1
14590,14590.jpg,1,-1
12116,12116.jpg,1,1
